Animal_ID,Genotype,Condition,Sex,Age,,,,,
AB7592,HET,MD,M,P50,,,,,
AB7592,HET,MD,M,P50,,,,,
AB7592,HET,MD,M,P50,,,,,
AB7592,HET,MD,M,P50,,,,,
AB7594,HET,NR,M,P50,,,,,
AB7594,HET,NR,M,P50,,,,,
AB7594,HET,NR,M,P50,,,,,
AB7596,HET,MD,F,P50,,,,,
AB7596,HET,MD,F,P50,,,,,
AB7596,HET,MD,F,P50,,,,,
52932-3M,HET,MD,M,P50,,,,,
52932-3M,HET,MD,M,P50,,,,,
52932-3M,HET,MD,M,P50,,,,,
52932-3M,HET,MD,M,P50,,,,,
52932-3M,HET,MD,M,P50,,,,,
52932-4M,HET,MD,M,P50,,,,,
52932-2M,KO,NR,M,P50,,,,,
52932-2M,KO,NR,M,P50,,,,,
52932-2M,KO,NR,M,P50,,,,,
52932-2M,KO,NR,M,P50,,,,,
52932-5M,KO,MD,M,P50,,,,,
52932-5M,KO,MD,M,P50,,,,,
52932-5M,KO,MD,M,P50,,,,,
52932-5M,KO,MD,M,P50,,,,,
AB7595,WT,MD,F,P50,,,,,
AB7595,WT,MD,F,P50,,,,,
AB7595,WT,MD,F,P50,,,,,
AB7595,WT,MD,F,P50,,,,,
AB7595,WT,MD,F,P50,,,,,
536631M,KO,NR,M,P50,,,,,
536631M,KO,NR,M,P50,,,,,
536631M,KO,NR,M,P50,,,,,
536632F,HET,NR,F,P50,,,,,
536632F,HET,NR,F,P50,,,,,
536633F,HET,NR,F,P50,,,,,
536633F,HET,NR,F,P50,,,,,
536633F,HET,NR,F,P50,,,,,
536634F,KO,MD,F,P50,,,,,
536634F,KO,MD,F,P50,,,,,
536636M,HET,MD,M,P50,,,,,
536636M,HET,MD,M,P50,,,,,
536636M,HET,MD,M,P50,,,,,
543335F,HET,MD,M,P50,,,,,
543335F,HET,MD,M,P50,,,,,
AC0305,HET,MD,F,P29,,,,,
AC0305,HET,MD,F,P29,,,,,
AC0305,HET,MD,F,P29,,,,,
AC0305,HET,MD,F,P29,,,,,
AC0305,HET,MD,F,P29,,,,,
AC0306,HET,MD,M,P29,,,,,
AC0306,HET,MD,M,P29,,,,,
AC0306,HET,MD,M,P29,,,,,
AC0306,HET,MD,M,P29,,,,,
AC0301,KO,NR,F,P29,,,,,
AC0301,KO,NR,F,P29,,,,,
AC0301,KO,NR,F,P29,,,,,
AC0301,KO,NR,F,P29,,,,,
AC0301,KO,NR,F,P29,,,,,
AC0302,KO,MD,M,P29,,,,,
AC0303,KO,MD,F,P29,,,,,
AC0303,KO,MD,F,P29,,,,,
AC0303,KO,MD,F,P29,,,,,
AC0303,KO,MD,F,P29,,,,,
AC0303,KO,MD,F,P29,,,,,
53861-5F,WT,NR,F,P29,,,,,
53861-5F,WT,NR,F,P29,,,,,
AC0411,WT,NR,F,P29,,,,,
AC0411,WT,NR,F,P29,,,,,
AC0411,WT,NR,F,P29,,,,,
AC0411,WT,NR,F,P29,,,,,
AC0414,HET,MD,M,P29,,,,,
AC0414,HET,MD,M,P29,,,,,
AC0414,HET,MD,M,P29,,,,,
AC0416,HET,MD,F,P29,,,,,
AC0417,KO,MD,F,P29,,,,,
AC0417,KO,MD,F,P29,,,,,
AC0417,KO,MD,F,P29,,,,,
AC0417,KO,MD,F,P29,,,,,
AC0418,WT,NR,M,P29,,,,,
AC0418,WT,NR,M,P29,,,,,
AC0410,HET,NR,F,P29,,,,,
AC0410,HET,NR,F,P29,,,,,
AC0415,KO,NR,F,P29,,,,,
AC0415,KO,NR,F,P29,,,,,
AC0415,KO,NR,F,P29,,,,,
AC0418,WT,NR,M,P29,,,,,
